LeftStim,RightStim,CombinedStim,GapL,GapR,GapUL,GapDL,GapUR,GapDR,CurveSegL,CurveSegR,CurveSegUL,CurveSegDL,CurveSegUR,CurveSegDR,PreSwitchUL,IndicatorUL,PreSwitchDL,IndicatorDL,PreSwitchUR,IndicatorUR,PreSwitchDR,IndicatorDR
CircleUL,GapR,CircleUL+GapR,0,1,0,0,0,0,0,0,0,0,0,0,Circle,Circle,,,,,,
CurveSegDL,GapR,CurveSegDL+GapR,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,
CurveSegUL,GapR,CurveSegUL+GapR,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,
GapDL,GapR,GapDL+GapR,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,
GapL,GapR,GapL+GapR,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
GapUL,GapR,GapUL+GapR,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,
CircleDL,GapUR,CircleDL+GapUR,0,0,0,0,1,0,0,0,0,0,0,0,,,Circle,Circle,,,,
CircleUL,GapUR,CircleUL+GapUR,0,0,0,0,1,0,0,0,0,0,0,0,Circle,Circle,,,,,,
CurveSegDL,GapUR,CurveSegDL+GapUR,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,
CurveSegUL,GapUR,CurveSegUL+GapUR,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,
GapDL,GapUR,GapDL+GapUR,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,
GapL,GapUR,GapL+GapUR,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
GapUL,GapUR,GapUL+GapUR,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,
